Periodo;Partner;Pais;ID_Link;Nombre_Link;ID_Afiliador;Nombre_Afiliador;Registros;Cantidad_Primeros_Depositos;Valor_Primeros_Depositos
2023-01-01-2023-01-31;Doradobet;Per˙;927;POPC-Registro;14864;ADSVIRTUAL;75;3;450
2023-01-01-2023-01-31;Doradobet;Per˙;2167;PPADS_Popunder_Peru;22651;PropellerAds;192;0;0
2023-01-01-2023-01-31;Doradobet;Per˙;984;torneos-millonarios-en-vivo;46079;Facebook Doradobet;272;6;277
2023-01-01-2023-01-31;Doradobet;Per˙;1902;cuotas;22651;PropellerAds;322;1;100
2023-01-01-2023-01-31;Doradobet;Per˙;1890;AdC_Casino;14864;ADSVIRTUAL;217;1;30
2023-01-01-2023-01-31;Doradobet;Per˙;1887;AdC_Deportes;14864;ADSVIRTUAL;339;1;20
2023-01-01-2023-01-31;Ecuabet;Ecuador;2263;POPC_Desk_ECU;255431;Daniela;50;11;163
2023-01-01-2023-01-31;Doradobet;Chile;3428;SPR_Casino;1160207;ADSCHILE;2;0;0
2023-01-01-2023-01-31;Doradobet;Per˙;1294;tragamonedas;46079;Facebook Doradobet;995;52;2196
2023-01-01-2023-01-31;Doradobet;Per˙;1795;Other;294404;Andre;17;4;118,5
2023-01-01-2023-01-31;Doradobet;Ecuador;3625;SPR_Casino;2457236;AdsDoradobetECU;7;0;0
2023-01-01-2023-01-31;Ecuabet;Ecuador;3983;Vidoomy_Video;255431;Daniela;14;0;0
2023-01-01-2023-01-31;Doradobet;Per˙;762;SerieA;46079;Facebook Doradobet;297;14;410
2023-01-01-2023-01-31;Ecuabet;Ecuador;2454;ADS_Deportivas;255431;Daniela;1014;20;318,5
2023-01-01-2023-01-31;Doradobet;Per˙;1642;Flashscore-PE;14864;ADSVIRTUAL;30;3;90
2023-01-01-2023-01-31;Doradobet;Per˙;3199;home;2088391;Caio;148;55;24477,11
2023-01-01-2023-01-31;Doradobet;Chile;3765;Marilyn;1160207;ADSCHILE;12;1;30000
2023-01-01-2023-01-31;Ecuabet;Ecuador;3401;AdPro_Casino;255431;Daniela;195;2;10
2023-01-01-2023-01-31;Doradobet;Per˙;1947;SPR_Deportivas;14864;ADSVIRTUAL;5;0;0
2023-01-01-2023-01-31;Ecuabet;Ecuador;1371;Test;251959;Afiliador;82;42;561,4
2023-01-01-2023-01-31;Doradobet;Ecuador;4499;Registro Taboola;2457236;AdsDoradobetECU;20;0;0
2023-01-01-2023-01-31;Doradobet;Chile;3291;bono-bienvenida_SPR_CL;1160207;ADSCHILE;1;0;0
2023-01-01-2023-01-31;Doradobet;Per˙;3789;Taboola_Deportivo;14864;ADSVIRTUAL;154;5;200
2023-01-01-2023-01-31;Ecuabet;Ecuador;1749;boton-registro-FB-ECU;217215;AFILIADOS ECUABET;34;35;472
2023-01-01-2023-01-31;Doradobet;Per˙;2505;Retargeting_Promo_Casino;46079;Facebook Doradobet;1;0;0
2023-01-01-2023-01-31;Doradobet;Per˙;1950;SPR_Casino;14864;ADSVIRTUAL;18;0;0
2023-01-01-2023-01-31;Eltribet;MÈxico;3908;FBMX_Registro_Bono_Bienvenida;2813665;ADSEltribetmx;5;2;400
2023-01-01-2023-01-31;Doradobet;Per˙;2448;ADP_Deportivas;14864;ADSVIRTUAL;4;1;20
2023-01-01-2023-01-31;Ecuabet;Ecuador;2375;Link1;1035746;carlos;92;20;144
2023-01-01-2023-01-31;Ecuabet;Ecuador;4460;Pop Cash Casino;255431;Daniela;29;1;5
2023-01-01-2023-01-31;Doradobet;Per˙;3120;ADPRO_Video;14864;ADSVIRTUAL;82;1;10
2023-01-01-2023-01-31;Doradobet;Per˙;1433;Besso-Dorado;14864;ADSVIRTUAL;36;4;110
2023-01-01-2023-01-31;Doradobet;Chile;4084;Taboola;1160207;ADSCHILE;13;0;0
2023-01-01-2023-01-31;Doradobet;Per˙;1762;Registro actualizado;38713;Thyago;4;0;0
2023-01-01-2023-01-31;Ecuabet;Ecuador;3559;Taboola_Video;255431;Daniela;338;12;163
2023-01-01-2023-01-31;Eltribet;MÈxico;4583;La Liga;3045874;Facebook;1;0;0
2023-01-01-2023-01-31;Gangabet;Venezuela;4472;veDatosdeparleysgratisengangabet;4020884;Marketing;9;0;0
2023-01-01-2023-01-31;Gangabet;Venezuela;4463;DatosyPronÛsticosVenezuela;4020884;Marketing;1;1;20
2023-01-01-2023-01-31;Ecuabet;Ecuador;2939;Camilin;1621448;Camilo;1;0;0
2023-01-01-2023-01-31;Gangabet;Venezuela;4484;veGangabet/ParleyVenezuelave;4020884;Marketing;2;0;0
