Periodo;Partner;Pais;Usuarios_Nuevos;Primera_Recarga;Usuarios_que_Depositaron;Activos_Deportivas;Activos_Casino;Primer_Deposito_Por_Pasarela
1/01/2023;Casino Miravalle Palace;M�xico;0;0;3;0;3;
1/01/2023;Doradobet;Chile;7;1;11;20;15;
1/01/2023;Doradobet;Costa Rica;5;3;98;231;57;
1/01/2023;Doradobet;Ecuador;12;4;20;69;26;
1/01/2023;Doradobet;Guatemala;2;0;0;3;3;
1/01/2023;Doradobet;Nicaragua;8;3;234;673;107;
1/01/2023;Doradobet;Per�;220;110;4162;10631;2305;
1/01/2023;Ecuabet;Ecuador;193;68;5962;22342;2826;
1/01/2023;Eltribet;M�xico;2;0;1;4;1;
1/01/2023;Gangabet;Brasil;6;0;0;0;0;
1/01/2023;Gangabet;Chile;2;2;4;11;1;
1/01/2023;Gangabet;M�xico;0;0;9;15;2;
1/01/2023;Gangabet;Per�;8;9;243;437;62;
1/01/2023;Gangabet;Venezuela;1;1;5;6;0;
1/01/2023;Hondubet;Honduras;2;0;6;168;16;
1/01/2023;iBetSupreme;Guyana;3;0;3;24;10;
1/01/2023;Justbetja;Jamaica;21;2;302;2392;26;
1/01/2023;Latinbet;Panam�;4;4;72;162;0;
1/01/2023;Lotosports;Brasil;3;1;189;159;112;
1/01/2023;Milbets;Brasil;6;2;13;14;7;
1/01/2023;Netabet;M�xico;2;1;126;285;21;
2/01/2023;Casino Gran palacio;M�xico;0;0;1;0;1;
2/01/2023;Casino Intercontinental;M�xico;1;0;0;0;0;
2/01/2023;Casino Miravalle Palace;M�xico;0;0;3;0;2;
2/01/2023;Doradobet;Chile;2;0;18;34;38;
2/01/2023;Doradobet;Costa Rica;40;8;152;250;90;
2/01/2023;Doradobet;Ecuador;21;2;26;79;29;
2/01/2023;Doradobet;Guatemala;9;1;2;6;3;
2/01/2023;Doradobet;Nicaragua;5;3;438;744;114;
2/01/2023;Doradobet;Per�;279;135;5856;12544;2800;
2/01/2023;Ecuabet;Ecuador;426;217;14048;29289;3943;
2/01/2023;Eltribet;M�xico;5;1;2;5;3;
2/01/2023;Gangabet;Brasil;7;0;1;2;0;
2/01/2023;Gangabet;Chile;1;2;7;9;0;
2/01/2023;Gangabet;M�xico;1;0;7;11;1;
2/01/2023;Gangabet;Per�;16;8;324;490;74;
2/01/2023;Gangabet;Venezuela;15;3;12;15;0;
2/01/2023;Hondubet;Honduras;7;9;138;246;29;
2/01/2023;iBetSupreme;Guyana;4;0;7;23;5;
2/01/2023;Justbetja;Jamaica;27;7;413;2331;24;
2/01/2023;Latinbet;Panam�;1;2;124;185;0;
2/01/2023;Lotosports;Brasil;8;4;273;201;154;
2/01/2023;Milbets;Brasil;99;10;26;21;16;
2/01/2023;Netabet;M�xico;4;2;144;269;26;
3/01/2023;Casino Gran palacio;M�xico;0;0;0;0;1;
3/01/2023;Casino Intercontinental;M�xico;0;0;0;0;1;
3/01/2023;Casino Miravalle Palace;M�xico;1;0;2;0;2;
3/01/2023;Doradobet;Chile;3;0;15;36;30;
3/01/2023;Doradobet;Costa Rica;40;8;110;284;86;
3/01/2023;Doradobet;Ecuador;16;5;26;93;27;
3/01/2023;Doradobet;Guatemala;10;0;2;6;2;
3/01/2023;Doradobet;Nicaragua;18;8;522;886;140;
3/01/2023;Doradobet;Per�;416;214;7015;14974;3015;
3/01/2023;Ecuabet;Ecuador;575;358;21465;38913;4990;
3/01/2023;Eltribet;M�xico;22;1;2;5;2;
3/01/2023;Gangabet;Brasil;15;0;0;0;0;
3/01/2023;Gangabet;Chile;3;2;6;14;1;
3/01/2023;Gangabet;M�xico;0;1;8;16;1;
3/01/2023;Gangabet;Panam�;1;0;0;0;0;
3/01/2023;Gangabet;Per�;18;18;420;632;81;
3/01/2023;Gangabet;Venezuela;6;3;11;16;0;
3/01/2023;Hondubet;Honduras;60;6;136;282;31;
3/01/2023;iBetSupreme;Guyana;6;0;29;27;18;
3/01/2023;Justbetja;Jamaica;21;11;576;2472;41;
3/01/2023;Latinbet;Panam�;3;1;143;221;0;
3/01/2023;Lotosports;Brasil;11;4;277;215;150;
3/01/2023;Milbets;Brasil;17;5;22;24;13;
3/01/2023;Netabet;M�xico;6;5;109;260;31;
4/01/2023;Casino Intercontinental;M�xico;0;0;1;0;0;
4/01/2023;Casino Miravalle Palace;M�xico;0;0;3;0;3;
4/01/2023;Doradobet;Chile;5;1;18;32;31;
4/01/2023;Doradobet;Costa Rica;42;8;123;304;70;
4/01/2023;Doradobet;Ecuador;33;3;32;100;24;
4/01/2023;Doradobet;Guatemala;16;0;1;2;2;
4/01/2023;Doradobet;Nicaragua;21;11;498;972;107;
4/01/2023;Doradobet;Per�;342;208;7783;15484;3576;
4/01/2023;Ecuabet;Ecuador;686;302;20699;39706;5345;
4/01/2023;Eltribet;M�xico;26;1;1;8;2;
4/01/2023;Gangabet;Brasil;6;0;0;0;0;
4/01/2023;Gangabet;Chile;2;2;4;9;4;
4/01/2023;Gangabet;M�xico;15;0;9;25;3;
4/01/2023;Gangabet;Per�;13;8;415;633;69;
4/01/2023;Gangabet;Venezuela;4;2;10;19;0;
4/01/2023;Hondubet;Honduras;35;3;115;284;18;
4/01/2023;iBetSupreme;Guyana;7;2;28;32;19;
4/01/2023;Justbetja;Jamaica;18;5;527;2561;35;
4/01/2023;Latinbet;Panam�;8;7;169;241;0;
4/01/2023;Lotosports;Brasil;20;5;287;226;143;
4/01/2023;Milbets;Brasil;8;4;24;25;12;
4/01/2023;Netabet;M�xico;7;4;154;261;33;
5/01/2023;Casino Miravalle Palace;M�xico;0;0;2;0;2;
5/01/2023;Doradobet;Chile;2;2;12;29;22;
5/01/2023;Doradobet;Costa Rica;33;3;98;250;100;
5/01/2023;Doradobet;Ecuador;25;2;24;83;25;
5/01/2023;Doradobet;Guatemala;16;2;3;4;4;
5/01/2023;Doradobet;Nicaragua;17;7;399;809;224;
5/01/2023;Doradobet;Per�;303;148;5837;12849;3075;
5/01/2023;Ecuabet;Ecuador;656;266;17181;34258;4864;
5/01/2023;Eltribet;M�xico;31;0;0;6;0;
5/01/2023;Gangabet;Brasil;6;0;0;0;0;
5/01/2023;Gangabet;Chile;0;0;5;5;0;
5/01/2023;Gangabet;M�xico;3;0;7;13;1;
5/01/2023;Gangabet;Per�;9;10;309;509;59;
5/01/2023;Gangabet;Venezuela;3;3;13;18;2;
5/01/2023;Hondubet;Honduras;54;6;105;238;21;
5/01/2023;iBetSupreme;Guyana;7;2;29;21;20;
5/01/2023;Justbetja;Jamaica;14;4;444;1959;44;
5/01/2023;Latinbet;Panam�;6;1;97;177;2;
5/01/2023;Lotosports;Brasil;11;11;292;241;186;
5/01/2023;Milbets;Brasil;9;6;21;18;13;
5/01/2023;Netabet;M�xico;0;0;100;214;29;
6/01/2023;Casino Intercontinental;M�xico;0;0;1;0;1;
6/01/2023;Casino Miravalle Palace;M�xico;1;0;3;0;3;
6/01/2023;Doradobet;Chile;4;1;14;22;19;
6/01/2023;Doradobet;Costa Rica;52;8;134;293;95;
6/01/2023;Doradobet;Ecuador;20;6;28;74;16;
6/01/2023;Doradobet;Guatemala;15;2;6;4;4;
6/01/2023;Doradobet;Nicaragua;18;7;482;900;131;
6/01/2023;Doradobet;Per�;298;152;5980;12876;4161;
6/01/2023;Ecuabet;Ecuador;502;256;17736;34448;4558;
6/01/2023;Eltribet;M�xico;40;2;4;7;1;
6/01/2023;Gangabet;Brasil;9;0;0;0;0;
6/01/2023;Gangabet;Chile;0;1;8;11;2;
6/01/2023;Gangabet;M�xico;3;2;8;14;0;
6/01/2023;Gangabet;Per�;9;12;333;538;74;
6/01/2023;Gangabet;Venezuela;1;0;10;12;3;
6/01/2023;Hondubet;Honduras;25;3;108;241;16;
6/01/2023;iBetSupreme;Guyana;1;3;23;30;16;
6/01/2023;Justbetja;Jamaica;18;9;599;2266;39;
6/01/2023;Latinbet;Panam�;5;0;134;207;2;
6/01/2023;Lotosports;Brasil;11;6;312;259;250;
6/01/2023;Milbets;Brasil;65;11;30;23;21;
6/01/2023;Netabet;M�xico;3;1;173;280;29;
7/01/2023;Casino Intercontinental;M�xico;0;0;0;0;1;
7/01/2023;Casino Miravalle Palace;M�xico;3;0;3;0;4;
7/01/2023;Doradobet;Chile;4;0;15;27;9;
7/01/2023;Doradobet;Costa Rica;34;3;111;276;70;
7/01/2023;Doradobet;Ecuador;35;4;33;85;10;
7/01/2023;Doradobet;Guatemala;23;1;2;4;4;
7/01/2023;Doradobet;Nicaragua;17;6;544;974;91;
7/01/2023;Doradobet;Per�;271;152;7662;15196;2922;
7/01/2023;Ecuabet;Ecuador;471;257;19556;36287;4429;
7/01/2023;Eltribet;M�xico;29;1;1;6;0;
7/01/2023;Gangabet;Brasil;2;0;0;0;0;
7/01/2023;Gangabet;Chile;4;1;3;9;2;
7/01/2023;Gangabet;M�xico;7;0;15;24;5;
7/01/2023;Gangabet;Per�;11;11;444;656;63;
7/01/2023;Gangabet;Venezuela;1;0;15;22;2;
7/01/2023;Hondubet;Honduras;73;3;131;252;16;
7/01/2023;iBetSupreme;Guyana;4;0;13;32;11;
7/01/2023;Justbetja;Jamaica;22;5;580;2744;32;
7/01/2023;Latinbet;Panam�;4;4;150;217;2;
7/01/2023;Lotosports;Brasil;14;6;319;273;175;
7/01/2023;Milbets;Brasil;26;6;34;20;22;
7/01/2023;Netabet;M�xico;3;0;199;321;32;
8/01/2023;Casino Intercontinental;M�xico;0;0;1;0;1;
8/01/2023;Casino Miravalle Palace;M�xico;2;0;2;0;3;
8/01/2023;Doradobet;Chile;7;0;13;24;16;
8/01/2023;Doradobet;Costa Rica;4;2;125;268;69;
8/01/2023;Doradobet;Ecuador;33;3;26;73;15;
8/01/2023;Doradobet;Guatemala;28;2;2;3;4;
8/01/2023;Doradobet;Nicaragua;19;6;405;825;85;
8/01/2023;Doradobet;Per�;242;128;6610;13324;2677;
8/01/2023;Ecuabet;Ecuador;505;213;15993;30924;3876;
8/01/2023;Eltribet;M�xico;43;2;2;9;1;
8/01/2023;Gangabet;Brasil;7;0;0;0;0;
8/01/2023;Gangabet;Chile;1;0;4;7;2;
8/01/2023;Gangabet;M�xico;0;0;11;19;2;
8/01/2023;Gangabet;Per�;16;11;408;591;56;
8/01/2023;Gangabet;Venezuela;4;2;9;12;0;
8/01/2023;Hondubet;Honduras;38;5;90;215;15;
8/01/2023;iBetSupreme;Guyana;2;0;2;23;5;
8/01/2023;Justbetja;Jamaica;10;4;442;2017;34;
8/01/2023;Latinbet;Panam�;2;2;104;179;1;
8/01/2023;Lotosports;Brasil;14;13;292;256;154;
8/01/2023;Milbets;Brasil;43;11;33;24;23;
8/01/2023;Netabet;M�xico;1;2;195;320;34;
9/01/2023;Casino Gran palacio;M�xico;1;0;0;0;0;
9/01/2023;Casino Miravalle Palace;M�xico;2;1;3;0;4;
9/01/2023;Doradobet;Chile;8;1;14;37;72;
9/01/2023;Doradobet;Costa Rica;17;4;115;233;108;
9/01/2023;Doradobet;Ecuador;39;5;30;74;36;
9/01/2023;Doradobet;Guatemala;15;0;1;3;2;
9/01/2023;Doradobet;Nicaragua;9;4;357;664;73;
9/01/2023;Doradobet;Per�;252;100;4372;9234;2568;
9/01/2023;Ecuabet;Ecuador;464;242;14741;26986;4074;
9/01/2023;Eltribet;M�xico;7;1;1;7;1;
9/01/2023;Gangabet;Brasil;5;0;1;1;1;
9/01/2023;Gangabet;Chile;1;1;4;7;5;
9/01/2023;Gangabet;M�xico;1;0;9;13;2;
9/01/2023;Gangabet;Per�;0;5;252;397;61;
9/01/2023;Gangabet;Venezuela;2;0;5;11;2;
9/01/2023;Hondubet;Honduras;12;4;87;192;15;
9/01/2023;iBetSupreme;Guyana;0;1;28;26;15;
9/01/2023;Justbetja;Jamaica;13;12;407;1537;40;
9/01/2023;Latinbet;Panam�;5;3;91;160;2;
9/01/2023;Lotosports;Brasil;14;6;250;205;168;
9/01/2023;Milbets;Brasil;12;3;18;17;12;
9/01/2023;Netabet;M�xico;3;2;155;277;28;
10/01/2023;Casino Intercontinental;M�xico;0;0;1;0;1;
10/01/2023;Casino Miravalle Palace;M�xico;0;0;1;0;1;
10/01/2023;Doradobet;Chile;11;2;16;39;68;
10/01/2023;Doradobet;Costa Rica;31;3;83;247;104;
10/01/2023;Doradobet;Ecuador;37;5;20;73;38;
10/01/2023;Doradobet;Guatemala;13;0;1;5;8;
10/01/2023;Doradobet;Nicaragua;19;5;420;750;101;
10/01/2023;Doradobet;Per�;321;102;5115;10755;2924;
10/01/2023;Ecuabet;Ecuador;509;240;15962;30138;4324;
10/01/2023;Eltribet;M�xico;40;0;1;7;4;
10/01/2023;Gangabet;Brasil;6;0;0;0;0;
10/01/2023;Gangabet;Chile;1;0;6;9;2;
10/01/2023;Gangabet;M�xico;0;0;7;11;3;
10/01/2023;Gangabet;Per�;10;7;317;497;60;
10/01/2023;Gangabet;Venezuela;2;1;9;15;0;
10/01/2023;Hondubet;Honduras;65;9;109;223;12;
10/01/2023;iBetSupreme;Guyana;3;0;24;30;18;
10/01/2023;Justbetja;Jamaica;11;5;409;1883;34;
10/01/2023;Latinbet;Panam�;5;4;122;183;0;
10/01/2023;Lotosports;Brasil;10;7;274;223;155;
10/01/2023;Milbets;Brasil;42;11;27;19;14;
10/01/2023;Netabet;M�xico;1;0;142;264;27;
11/01/2023;Casino Intercontinental;M�xico;0;0;0;0;1;
11/01/2023;Casino Miravalle Palace;M�xico;0;0;2;0;2;
11/01/2023;Doradobet;Chile;11;0;11;36;45;
11/01/2023;Doradobet;Costa Rica;35;5;133;288;108;
11/01/2023;Doradobet;Ecuador;22;3;21;85;43;
11/01/2023;Doradobet;Guatemala;28;1;6;11;8;
11/01/2023;Doradobet;Nicaragua;13;6;507;914;199;
11/01/2023;Doradobet;Per�;578;142;6921;13354;3512;
11/01/2023;Ecuabet;Ecuador;458;272;19854;34578;4478;
11/01/2023;Eltribet;M�xico;61;2;3;7;5;
11/01/2023;Gangabet;Brasil;5;0;0;0;1;
11/01/2023;Gangabet;Chile;5;0;2;8;0;
11/01/2023;Gangabet;M�xico;1;0;9;14;1;
11/01/2023;Gangabet;Per�;26;12;418;607;55;
11/01/2023;Gangabet;Venezuela;4;0;12;17;0;
11/01/2023;Hondubet;Honduras;43;9;136;256;21;
11/01/2023;iBetSupreme;Guyana;5;1;21;27;9;
11/01/2023;Justbetja;Jamaica;18;7;488;2119;41;
11/01/2023;Latinbet;Panam�;6;5;142;208;2;
11/01/2023;Lotosports;Brasil;8;5;312;248;182;
11/01/2023;Milbets;Brasil;107;14;30;31;17;
11/01/2023;Netabet;M�xico;4;3;159;266;32;
12/01/2023;Casino Miravalle Palace;M�xico;0;0;2;0;2;
12/01/2023;Doradobet;Chile;9;2;13;27;44;
12/01/2023;Doradobet;Costa Rica;39;2;117;239;63;
12/01/2023;Doradobet;Ecuador;32;3;27;72;23;
12/01/2023;Doradobet;Guatemala;23;3;5;9;6;
12/01/2023;Doradobet;Nicaragua;17;7;428;761;110;
12/01/2023;Doradobet;Per�;418;126;5307;10696;3489;
12/01/2023;Ecuabet;Ecuador;445;192;16054;28715;4212;
12/01/2023;Eltribet;M�xico;42;5;6;7;6;
12/01/2023;Gangabet;Brasil;7;2;2;0;2;
12/01/2023;Gangabet;Chile;1;0;3;5;2;
12/01/2023;Gangabet;M�xico;9;0;8;12;3;
12/01/2023;Gangabet;Per�;9;6;312;463;53;
12/01/2023;Gangabet;Venezuela;3;2;10;15;1;
12/01/2023;Hondubet;Honduras;32;4;121;233;18;
12/01/2023;iBetSupreme;Guyana;2;0;19;22;13;
12/01/2023;Justbetja;Jamaica;17;4;413;1869;45;
12/01/2023;Latinbet;Panam�;6;6;125;183;1;
12/01/2023;Lotosports;Brasil;17;11;303;242;201;
12/01/2023;Milbets;Brasil;30;5;32;35;14;
12/01/2023;Netabet;M�xico;3;0;144;251;33;
12/01/2023;Winbet;Venezuela;1;0;0;0;0;
13/01/2023;Casino Astoria;M�xico;1;0;0;0;0;
13/01/2023;Casino Miravalle Palace;M�xico;0;0;3;0;3;
13/01/2023;Doradobet;Chile;6;0;5;15;13;
13/01/2023;Doradobet;Costa Rica;52;5;132;251;72;
13/01/2023;Doradobet;Ecuador;37;0;16;55;17;
13/01/2023;Doradobet;Guatemala;16;0;3;11;4;
13/01/2023;Doradobet;Nicaragua;20;7;567;860;106;
13/01/2023;Doradobet;Per�;359;158;5808;11678;3938;
13/01/2023;Ecuabet;Ecuador;428;232;17566;30891;4248;
13/01/2023;Eltribet;M�xico;13;2;4;7;6;
13/01/2023;Gangabet;Brasil;4;0;0;0;0;
13/01/2023;Gangabet;Chile;3;0;2;9;2;
13/01/2023;Gangabet;M�xico;1;5;17;21;3;
13/01/2023;Gangabet;Panam�;1;0;0;0;0;
13/01/2023;Gangabet;Per�;19;18;369;552;61;
